course,equivalent_course
ANTH 28600,BIOS 23253
ANTH 28702,ANTH 58702
ANTH 29500,ANTH 59500
ARTH 14107,CLCV 21807
ARTH 14115,CLCV 24115
ARTH 14215,CLCV 24215
ARTH 16100,EALC 16100
ARTH 16460,LACS 16460
ARTH 16800,EALC 16806
ARTH 16809,NEAA 10631
ARTH 17410,FNDL 20502
ARTH 17612,FNDL 21411
ARTH 17735,LACS 17735
ARTH 21202,ARTH 31202
ARTH 21205,ARTH 31205
ARTH 21205,LACS 21205
ARTH 21205,LACS 31205
ARTH 21415,ARTH 31415
ARTH 21415,CLCV 21415
ARTH 21415,CLAS 31415
ARTH 22808,ARTH 32808
ARTH 23400,ARTH 33400
ARTH 23400,NEAA 20801
ARTH 23400,NEAA 30801
ARTH 23603,ARTH 33603
ARTH 23603,FREN 26303
ARTH 23603,FREN 36303
ARTH 24812,ARTH 34812
ARTH 26201,ARTV 26201
ARTH 26201,ARTH 36201
ARTH 26201,ARTV 36201
ARTH 26201,CMST 29004
ARTH 26201,CMST 39004
ARTH 26301,ARTH 36301
ARTH 26400,ARTH 36400
ARTH 26707,ARTH 36707
ARTH 26707,EALC 26707
ARTH 26707,EALC 36707
ARTH 26803,ARTH 36803
ARTH 27215,ARTH 37215
ARTH 27304,ARTH 37304
ARTH 27808,ARTH 37808
ARTH 27808,LACS 27808
ARTH 27808,LACS 37808
ARTH 28204,ARTH 38204
ARTH 29704,ARTH 39704
ARTH 29704,EALC 29704
ARTH 29704,EALC 39704
ARTH 29704,HIST 24603
ARTH 29704,HIST 34603
ASTR 18100,PHSC 18100
ASTR 18200,PHSC 18200
ASTR 18300,PHSC 18300
ASTR 21300,GEOS 22000
ASTR 23000,BPRO 23000
ASTR 23000,RLST 23603
BPRO 22610,BIOS 29313
BPRO 22610,HIPS 21911
BPRO 22610,PHIL 21610
BPRO 22800,ANTH 25310
BPRO 22800,BIOS 02280
BPRO 23000,ASTR 23000
BPRO 23000,RLST 23603
BPRO 24000,HUMA 24005
BPRO 24000,PSYC 24050
BPRO 24000,PSYC 34050
BPRO 24900,BIOS 02490
BPRO 28100,RLST 23403
BPRO 28600,BIOS 29323
BPRO 28600,CMLT 28900
BPRO 28600,HMRT 28602
BPRO 29000,CHSS 37502
BPRO 29000,ECON 26800
BPRO 29000,ENST 29000
BPRO 29000,PBPL 29000
BPRO 29000,PPHA 39201
BPRO 29000,PSMS 39000
BIOS 11119,GNSE 12000
BIOS 11125,ENST 12402
BIOS 13107,ENST 12404
BIOS 13107,NTSC 10400
BIOS 13123,NTSC 10300
BIOS 21208,BCMB 31000
BIOS 21208,MGCB 31000
BIOS 21216,HGEN 47100
BIOS 21237,DVBI 36400
BIOS 21237,MGCB 36400
BIOS 21328,BCMB 32200
BIOS 21328,BPHS 31000
BIOS 21338,CABI 34000
BIOS 21338,CPHY 34000
BIOS 21346,CABI 40300
BIOS 21346,IMMU 40300
BIOS 21346,MOMN 40300
BIOS 21349,CABI 31900
BIOS 21349,NURB 31349
BIOS 21356,DVBI 35600
BIOS 21356,MGCB 35600
BIOS 21357,MPMM 33000
BIOS 21358,BCMB 31358
BIOS 21358,CPNS 31358
BIOS 21407,MGCB 34300
BIOS 21416,DVBI 36200
BIOS 22242,EVOL 34200
BIOS 22242,ORGB 34200
BIOS 22243,EVOL 34300
BIOS 22243,ORGB 34300
BIOS 22244,EVOL 34100
BIOS 22250,EVOL 30250
BIOS 22250,ORGB 30250
BIOS 22306,ORGB 33850
BIOS 22306,DVBI 33850
BIOS 22306,EVOL 33850
BIOS 23247,ANTH 28400
BIOS 23247,ANTH 38800
BIOS 23249,CHDV 23249
BIOS 23249,PSYC 23249
BIOS 23253,ANTH 28600
BIOS 23258,ECEV 44001
BIOS 23258,EVOL 44001
BIOS 23261,GEOS 26300
BIOS 23261,EVOL 32400
BIOS 23261,GEOS 36300
BIOS 23281,EVOL 32600
BIOS 23281,ECEV 32500
BIOS 23281,GENE 32500
BIOS 23281,DVBI 32500
BIOS 23281,ORGB 32600
BIOS 23289,ENST 23289
BIOS 23299,DVBI 36100
BIOS 23299,ECEV 32900
BIOS 23299,MGCB 36100
BIOS 23404,EVOL 35401
BIOS 23406,ENST 25500
BIOS 23406,EVOL 45500
BIOS 23406,GEOG 25500
BIOS 23406,GEOG 35500
BIOS 24205,PSYC 24000
BIOS 24205,PSYC 31200
BIOS 24206,CPNS 34206
BIOS 24231,CPNS 34231
BIOS 24232,CPNS 33200
BIOS 24232,ORGB 34650
BIOS 24232,PSYC 34410
BIOS 24246,CPNS 34600
BIOS 24246,NURB 34600
BIOS 24246,CCTS 40100
BIOS 24247,CPNS 34700
BIOS 24247,NURB 34700
BIOS 24408,CPNS 32111
BIOS 25129,NURB 33800
BIOS 25206,MICR 30600
BIOS 25216,MICR 31600
BIOS 25226,CPHY 33600
BIOS 25226,NPHP 33600
BIOS 25258,IMMU 30010
BIOS 25258,PATH 30010
BIOS 25266,IMMU 30266
BIOS 25287,MICR 34600
BIOS 25310,CABI 47510
BIOS 25310,CCTS 40006
BIOS 25320,CABI 40600
BIOS 25419,HSTD 31300
BIOS 26210,CPNS 31000
BIOS 26210,PSYC 36210
BIOS 26211,CPNS 31100
BIOS 26211,PSYC 36211
BIOS 28407,BPHS 47300
BIOS 28407,CABI 47300
BIOS 28407,HGEN 47300
BIOS 28407,IMMU 47300
BIOS 02280,BPRO 22800
BIOS 02280,ANTH 25310
BIOS 02490,BPRO 24900
BIOS 29270,HIPS 25902
BIOS 29279,CCTS 43000
